title,id,overview,genres,cast,director,writers,production_companies,producers,original_language,vote_count,vote_average,popularity,runtime,release_date
The Conjuring 2,259693,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.,Horror,"Vera Farmiga, Madison Wolfe, Simon Delaney, Jason Liles, Joseph Bishara, Jennifer Collins, Benjamin Haigh, Nancy DeMars, Elliot Joseph, Sterling Jerins, Bob Adrian, Frances O'Connor, Javier Botet, Cory English, Lauren Esposito, Daniel Wolfe, Patrick Wilson, Shannon Kook, Emily Tasker, Chris Royds, Kate Cook, Emily Brobst, Robin Atkin Downes, Thomas Harrison, Simon McBurney, Bonnie Aarons, Abhi Sinha, Annie Young, Steve Coulter, Maria Doyle Kennedy, Patrick McAuley, Franka Potente",James Wan,"David Leslie Johnson-McGoldrick, Carey Hayes, James Wan, Chad Hayes","New Line Cinema, The Safran Company, Atomic Monster, RatPac Entertainment","Peter Safran, James Wan, Dave Neustadter, Richard Brener, Steven Mnuchin, Rob Cowan, Toby Emmerich, Walter Hamada",en,8024,7.292,123.168,134,2016-06-08
A Nightmare on Elm Street,377,"Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...",Horror,"John Saxon, Jack Shea, Donna Woodrum, Ronee Blakley, David Andrews, Joe Unger, John Richard Petersen, Heather Langenkamp, Antonia Yannouli, Johnny Depp, Charles Fleischer, Robert Englund, Carol Pritikin, Chris Tashima, Lin Shaye, Jsu Garcia, Amanda Wyss, Brian Reise, Paul Grenier, Kathi Gibbs, Ash Adams, Sandy Lipton, Shashawnee Hall, Leslie Hoffman, Ed Call, Don Hannah, Joseph Whipp, Mimi Craven, Jeff Levine, Robert Shaye",Wes Craven,Wes Craven,"New Line Cinema, Smart Egg Pictures, Media Home Entertainment, Cinema 84, The Elm Street Venture","Stanley Dudelson, Joseph Wolf, Sara Risher, John Burrows, Robert Shaye",en,4823,7.332,54.918,91,1984-11-09
[REC],8329,A television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying.,"Horror, Mystery","Ben Temple, Carlos Vicente, Kao Chen-Min, María Teresa Ortega, Carlos Lasarte, Ferrán Terraza, Jorge-Yamam Serrano, Marita Borrego, Vicente Gil, Javier Coromina, Claudia Silva, María Lanau, Manuel Bronchud, Daniel Trinh, Manuela Velasco, David Vert, Javier Botet, Ana Isabel Velásquez, Pablo Rosso, Martha Carbonell, Akemi Goto, Jana Prats, Víctor Massagué","Jaume Balagueró, Paco Plaza","Jaume Balagueró, Paco Plaza, Luiso Berdejo","Filmax, Castelao Productions, Canal+ España, TVE, ICO","Carlos Fernández, Julio Fernández",es,4147,7.193,31.367,78,2007-11-23
The Birds,571,Thousands of birds flock into a seaside town and terrorize the residents in a series of deadly attacks.,Horror,"Mike Monteleone, Doreen Lang, Charles McGraw, Betsy Hale, Jeannie Russell, Renn Reed, Lonny Chapman, Morgan Brittany, Rod Taylor, Arnold Roberts, Malcolm Atterbury, Tippi Hedren, Rory Stevens, Alfred Hitchcock, Ethel Griffies, Ruth McDevitt, Jessica Tandy, Joe Mantell, Veronica Cartwright, Bill Quinn, Dal McKennon, Doodles Weaver, Elizabeth Wilson, Darlene Conley, Karl Swenson, Richard Deacon, John McGovern, Suzanne Pleshette",Alfred Hitchcock,"Daphne du Maurier, Evan Hunter",Alfred J. Hitchcock Productions,Alfred Hitchcock,en,3859,7.524,30.346,120,1963-03-28
The Evil Dead,764,Five vacationing college students unwittingly resurrect demonic spirits through the Book of the Dead.,Horror,"Bob Dorian, Cheryl Guttridge, Dorothy Tapert, Ivan Raimi, Don Long, Sam Raimi, Josh Becker, Robert Tapert, Betsy Baker, Wendall Thomas, Ted Raimi, Gwen Cochanski, Scott Spiegel, Theresa Tilly, Debie Jarczewski, John Cameron, Bruce Campbell, Tom Sullivan, Richard DeManincor, Ellen Sandweiss, David Horton, Joanne Kruse, Mary Beth Tapert, Barbara Carey, Bill Vincent, Kurt Rauf, Stu Smith, Philip A. Gillis",Sam Raimi,Sam Raimi,"Renaissance Pictures, New Line Cinema","Sam Raimi, Gary Holt, Bruce Campbell, Robert Tapert",en,3748,7.308,35.664,85,1981-09-10
Five Nights at Freddy's,507089,"Recently fired and desperate for work, a troubled young man named Mike agrees to take a position as a night security guard at an abandoned theme restaurant: Freddy Fazbear's Pizzeria. But he soon discovers that nothing at Freddy's is what it seems.","Horror, Mystery","Wyatt Parker, Mary Stuart Masterson, Tadasay Young, Piper Rubio, Liam Hendrix, Lisa Mackel Smith, Jessica Blackmore, David Lind, Victoria Patenaude, Joseph Poliquin, Gralen Bryant Banks, Matthew Patrick, Josh Hutcherson, Jophielle Love, Julia Belanova, Kat Conner Sterling, Ryan Reinike, Bailey Winston, Garrett Hines, Xander Mateo, Christian Stokes, Lucas Grant, Theodus Crane, Matthew Lillard, Michael P. Sullivan, Grant Feely, Asher Colton Spence, David Huston Doty, Cory Kenshin, Elizabeth Lail",Emma Tammi,"Emma Tammi, Tyler MacIntyre, Scott Cawthon, Chris Lee Hill, Seth Cuddeback","Blumhouse Productions, Scott Cawthon Productions","Christopher H. Warner, Marc Mostman, Beatriz Sequeira, Russell Binder, Jason Blum, Scott Cawthon, Ryan Turek",en,3453,7.667,175.802,110,2023-10-25
The Texas Chain Saw Massacre,30497,A group of five young friends face a nightmare of torment at the hands of a depraved Texas clan.,Horror,"William Vail, Teri McMinn, Ed Guinn, Joe Bill Hogan, John Dugan, William Creamer, Marilyn Burns, Edwin Neal, John Larroquette, Gunnar Hansen, Allen Danziger, Jim Siedow, John Henry Faulk, Perry Lorenz, Paul A. Partain, Jerry Green, Robert Courtin",Tobe Hooper,"Kim Henkel, Tobe Hooper","Vortex, Henkel Productions, Hooper Productions, Bryanston Pictures","Jay Parsley, Tobe Hooper",en,3048,7.288,28.439,83,1974-10-01
Poltergeist,609,"Upon realizing that something truly evil haunts his home, Steve Freeling calls in a team of parapsychologists to help before it's too late.",Horror,"Allan Graf, Dominique Dunne, Richard Lawson, Lou Perryman, Martin Casella, Zelda Rubinstein, Heather O'Rourke, Sonny Landham, Oliver Robins, Frank Welker, Craig Simmons, Michael McManus, JoBeth Williams, James Karen, Robert Broyles, Dirk Blocker, Clair E. Leucart, William Vail, Noel Conlon, Helen Baron, Joseph Walsh, Craig T. Nelson, Virginia Kiser, Beatrice Straight",Tobe Hooper,"Mark Victor, Steven Spielberg, Michael Grais","Metro-Goldwyn-Mayer, Steven Spielberg Productions, SLM Production Group","Frank Marshall, Steven Spielberg",en,2811,7.147,24.328,114,1982-06-04
Suspiria,11906,An American newcomer to a prestigious German ballet academy comes to realize that the school is a front for something sinister amid a series of grisly murders.,Horror,"Giovanni di Bernardo, Salvatore Capozzi, Jacopo Mariani, Barbara Magnolfi, Renato Scarpa, Stefania Casini, Cristina Latini, Joan Bennett, Renata Zamengo, Dario Argento, Daria Nicolodi, Miguel Bosé, Giuseppe Transocchi, Udo Kier, Fulvio Mingozzi, Diana Ferrara, Claudia Zaccari, Franca Scagnetti, Margherita Horowitz, Susanna Javicoli, Alessandra Capozzi, Serafina Scorceletti, Lela Svasta, Rudolf Schündler, Marina Pierro, Eva Axén, Jessica Harper, Alfredo Raino, Alida Valli, Flavio Bucci",Dario Argento,"Dario Argento, Daria Nicolodi, Thomas De Quincey",Seda Spettacoli,"Salvatore Argento, Claudio Argento",it,2754,7.513,28.468,99,1977-02-01
Eraserhead,985,"First time father Henry Spencer tries to survive his industrial environment, his angry girlfriend, and the unbearable screams of his newly born mutant child. David Lynch arrived on the scene in 1977, almost like a mystical UFO gracing the landscape of LA with its enigmatic radiance. His inaugural work, ""Eraserhead"" (1977), stood out as a cinematic anomaly, painting a surreal narrative of a young man navigating a dystopian, industrialized America, grappling not only with his tumultuous home life but also contending with an irate girlfriend and a mutant child.",Horror,"Jennifer Lynch, Judith Roberts, Jack Walsh, Gill Dennis, John Monez, Charlotte Stewart, Thomas Coulson, Jack Nance, Allen Joseph, Laurel Near, Toby Keeler, T. Max Graham, Darwin Joston, Brad Keeler, Hal Landon Jr., Jeanne Bates, Jack Fisk, Jean Lange",David Lynch,David Lynch,American Film Institute (AFI),"David Lynch, Fred Baker",en,2270,7.4,22.827,89,1977-03-19
